2020-01-13 09:33:58 DEBUG logger:SSReportDaoImpl.java:174| List of Non Working Days: [20191221, 20191222, 20191225, 20191228, 20191229, 20200101, 20200104, 20200105, 20200111, 20200112]
2020-01-13 09:33:58 DEBUG logger:ExportExcelReportServiceImpl.java:88| diffDateTime including (nonWorkingDay): 00 18:11
2020-01-13 09:33:58 DEBUG logger:ExportExcelReportServiceImpl.java:140| Each EditedSSReport:SSReport [reportName=SIL006L_JINSSS_1503_20201415_123020.pdf, reportDate=15022021, reportTime=12:30, sssId=mes00003, sssStart=2019-12-23 15:37:54.622, sssComplete=2019-12-24 09:49:48.13, duration=00 18:11, category=New CCF With Quotation, remarks=null, nonWorkingDays=0]
2020-01-13 09:33:58 DEBUG logger:ExportExcelReportServiceImpl.java:45| start and end : 2019-12-23 15:41:06.095 2019-12-24 09:49:54.567
2020-01-13 09:33:58 DEBUG logger:SSReportDaoImpl.java:174| List of Non Working Days: [20191221, 20191222, 20191225, 20191228, 20191229, 20200101, 20200104, 20200105, 20200111, 20200112]
2020-01-13 09:33:58 DEBUG logger:ExportExcelReportServiceImpl.java:88| diffDateTime including (nonWorkingDay): 00 18:08
2020-01-13 09:33:58 DEBUG logger:ExportExcelReportServiceImpl.java:140| Each EditedSSReport:SSReport [reportName=SIL006L_JINSSS_1503_20191212_073345.pdf, reportDate=12122019, reportTime=07:33, sssId=mes00003, sssStart=2019-12-23 15:41:06.095, sssComplete=2019-12-24 09:49:54.567, duration=00 18:08, category=Other error (Diff SP/MPN), remarks=null, nonWorkingDays=0]
2020-01-13 09:33:58 DEBUG logger:ExportExcelReportServiceImpl.java:45| start and end : 2019-12-23 15:47:48.604 2019-12-24 09:50:25.615
2020-01-13 09:33:58 DEBUG logger:SSReportDaoImpl.java:174| List of Non Working Days: [20191221, 20191222, 20191225, 20191228, 20191229, 20200101, 20200104, 20200105, 20200111, 20200112]
2020-01-13 09:33:58 DEBUG logger:ExportExcelReportServiceImpl.java:88| diffDateTime including (nonWorkingDay): 00 18:02
2020-01-13 09:33:58 DEBUG logger:ExportExcelReportServiceImpl.java:140| Each EditedSSReport:SSReport [reportName=SIL006L_JINSSS_1503_20190715_134150.pdf, reportDate=15072019, reportTime=01:41, sssId=mes00004, sssStart=2019-12-23 15:47:48.604, sssComplete=2019-12-24 09:50:25.615, duration=00 18:02, category=New CCF Without Quotation, remarks=null, nonWorkingDays=0]
2020-01-13 09:33:58 DEBUG logger:ExportExcelReportServiceImpl.java:45| start and end : 2019-12-23 15:56:13.02 2019-12-24 09:50:32.834
2020-01-13 09:33:58 DEBUG logger:SSReportDaoImpl.java:174| List of Non Working Days: [20191221, 20191222, 20191225, 20191228, 20191229, 20200101, 20200104, 20200105, 20200111, 20200112]
